iso_code,continent,location,date,new_cases,new_deaths,total_cases_per_million,total_deaths_per_million,total_tests_per_thousand,population
ABW,North America,Aruba,2021-10-11,19.0,1.0,145948.97199999998,1585.895,,107195.0
ABW,North America,Aruba,2021-10-12,18.0,0.0,146116.89,1585.895,,107195.0
ABW,North America,Aruba,2021-10-13,0.0,0.0,146116.89,1585.895,,107195.0
ABW,North America,Aruba,2021-10-14,29.0,0.0,146387.425,1585.895,,107195.0
ABW,North America,Aruba,2021-10-15,10.0,0.0,146480.71300000002,1585.895,,107195.0
ABW,North America,Aruba,2021-10-16,13.0,0.0,146601.987,1585.895,,107195.0
ABW,North America,Aruba,2021-10-17,5.0,0.0,146648.631,1585.895,,107195.0
ABW,North America,Aruba,2021-10-18,12.0,0.0,146760.577,1585.895,,107195.0
ABW,North America,Aruba,2021-10-19,14.0,0.0,146891.18,1585.895,,107195.0
ABW,North America,Aruba,2021-10-20,19.0,0.0,147068.427,1585.895,,107195.0
ABW,North America,Aruba,2021-10-21,14.0,1.0,147199.03,1595.224,,107195.0
ABW,North America,Aruba,2021-10-22,11.0,0.0,147301.647,1595.224,,107195.0
ABW,North America,Aruba,2021-10-23,10.0,0.0,147394.934,1595.224,,107195.0
ABW,North America,Aruba,2021-10-24,7.0,0.0,147460.236,1595.224,,107195.0
ABW,North America,Aruba,2021-10-25,8.0,0.0,147534.866,1595.224,,107195.0
ABW,North America,Aruba,2021-10-26,33.0,0.0,147842.717,1595.224,,107195.0
ABW,North America,Aruba,2021-10-27,17.0,0.0,148001.30599999998,1595.224,,107195.0
ABW,North America,Aruba,2021-10-28,17.0,0.0,148159.896,1595.224,,107195.0
ABW,North America,Aruba,2021-10-29,19.0,0.0,148337.143,1595.224,,107195.0
ABW,North America,Aruba,2021-10-30,15.0,0.0,148477.074,1595.224,,107195.0
ABW,North America,Aruba,2021-10-31,9.0,0.0,148561.034,1595.224,,107195.0
ABW,North America,Aruba,2021-11-01,6.0,0.0,148617.006,1595.224,,107195.0
ABW,North America,Aruba,2021-11-02,6.0,0.0,148672.979,1595.224,,107195.0
ABW,North America,Aruba,2021-11-03,12.0,0.0,148784.925,1595.224,,107195.0
ABW,North America,Aruba,2021-11-04,16.0,0.0,148934.185,1595.224,,107195.0
ABW,North America,Aruba,2021-11-05,16.0,1.0,149083.446,1604.5520000000001,,107195.0
ABW,North America,Aruba,2021-11-06,16.0,0.0,149232.707,1604.5520000000001,,107195.0
ABW,North America,Aruba,2021-11-07,9.0,0.0,149316.666,1604.5520000000001,,107195.0
ABW,North America,Aruba,2021-11-08,5.0,0.0,149363.31,1604.5520000000001,,107195.0
ABW,North America,Aruba,2021-11-09,0.0,0.0,149363.31,1604.5520000000001,,107195.0
