Date,Adj Close,Close,High,Low,Open,Volume
2020/1/6,1430.190552,1513,1525.199951,1506,1519.800049,33361500
2020/1/7,1458.548584,1543,1544.400024,1523.800049,1530.800049,24803500
2020/1/8,1440.021362,1523.400024,1528.400024,1508.199951,1513,28061000
2020/1/9,1450.04126,1534,1538,1527.599976,1534.400024,21265000
2020/1/10,1448.339844,1532.199951,1539.599976,1530.199951,1539,17417000
2020/1/14,1463.085938,1547.800049,1550.400024,1540,1544.800049,24309500
2020/1/15,1450.419434,1534.400024,1545.400024,1532,1536.199951,21778000
2020/1/16,1453.255127,1537.400024,1538.199951,1532.199951,1534.400024,16113000
2020/1/17,1454.767578,1539,1542.400024,1534.400024,1542.400024,21640000
2020/1/20,1470.837158,1556,1557.199951,1541.199951,1542.800049,15775000
2020/1/21,1484.827026,1570.800049,1578.800049,1559.400024,1560.400024,25988000
2020/1/22,1478.966553,1564.599976,1570,1557.400024,1570,22193000
2020/1/23,1481.42395,1567.199951,1572.800049,1559.599976,1563,20944000
2020/1/24,1488.230103,1574.400024,1575.199951,1564,1567.199951,18572500
2020/1/27,1465.543701,1550.400024,1563.400024,1550.400024,1558.599976,24639500
2020/1/28,1464.598389,1549.400024,1554.199951,1541.599976,1544,24655000
2020/1/29,1468.190308,1553.199951,1555,1545,1549,17979500
2020/1/30,1443.235229,1526.800049,1547.199951,1517.599976,1547.199951,24394000
2020/1/31,1446.638306,1530.400024,1545.199951,1530.400024,1535,24543500
2020/2/3,1433.026489,1516,1523.800049,1506.800049,1511.400024,23018000
2020/2/4,1444.180786,1527.800049,1528.800049,1504.599976,1507,19983000
2020/2/5,1458.548584,1543,1547,1536.599976,1542,20036000
2020/2/6,1496.170288,1582.800049,1605.199951,1554,1554.800049,63677500
2020/2/7,1486.3396,1572.400024,1593.199951,1564.400024,1591.800049,24210500
2020/2/10,1464.787354,1549.599976,1561.800049,1546.800049,1557,20189000
2020/2/12,1473.483887,1558.800049,1558.800049,1534.599976,1542,25835500
2020/2/13,1466.677856,1551.599976,1557.400024,1545.400024,1553,17017000
2020/2/14,1461.195435,1545.800049,1553,1540.199951,1552.199951,18256500
2020/2/17,1460.439087,1545,1547.199951,1524.199951,1534.800049,15286500
2020/2/18,1435.673096,1518.800049,1541.400024,1516.199951,1535.599976,21080000
2020/2/19,1426.031372,1508.599976,1533.599976,1506,1533.400024,26228000
2020/2/20,1465.543701,1550.400024,1555.800049,1529.599976,1530,28639500
2020/2/21,1481.613281,1567.400024,1575.400024,1555,1557,25774500
2020/2/25,1431.89209,1514.800049,1528.400024,1490,1494,41735000
2020/2/26,1426.409424,1509,1514.400024,1492.800049,1500.199951,33874500
2020/2/27,1395.971802,1476.800049,1496,1469.800049,1495.199951,44234500
2020/2/28,1347.385254,1425.400024,1447.800049,1400.800049,1440.400024,53093500
2020/3/2,1352.489624,1430.800049,1439,1386.599976,1388.199951,45307500
2020/3/3,1331.693604,1408.800049,1469.599976,1408.800049,1457.599976,40353500
2020/3/4,1318.459961,1394.800049,1411.199951,1384,1393.599976,29270500
2020/3/5,1324.887695,1401.599976,1418,1392.400024,1414.800049,29305000
2020/3/6,1284.430298,1358.800049,1380.199951,1350.199951,1380,41045000
2020/3/9,1227.903198,1299,1317.400024,1275.199951,1314,44313500
2020/3/10,1247.753906,1320,1332,1253.199951,1279,49111500
2020/3/11,1235.465332,1307,1366,1302.400024,1326,41369500
2020/3/12,1192.73938,1261.800049,1289.800049,1245.800049,1280,47994000
2020/3/13,1150.202148,1216.800049,1268.599976,1154.199951,1185.199951,79205000
2020/3/16,1123.167603,1188.199951,1235.599976,1185.400024,1215.800049,46524000
2020/3/17,1202.381104,1272,1290,1164.400024,1170.599976,81134000
2020/3/18,1194.251709,1263.400024,1355.400024,1260,1265,92084000
2020/3/19,1208.997803,1279,1317.800049,1263.599976,1264,93711500
2020/3/23,1166.838989,1234.400024,1255.800049,1227.800049,1239,77562000
2020/3/24,1182.152344,1250.599976,1259,1223,1253,60464000
2020/3/25,1308.06189,1383.800049,1383.800049,1299.400024,1309,64061000
2020/3/26,1270.062134,1343.599976,1366.400024,1327.599976,1350,60223000
2020/3/27,1328.857788,1405.800049,1405.800049,1346.599976,1396,76307000
2020/3/30,1307.31604,1359.400024,1363.400024,1317.800049,1341.800049,57345500
2020/3/31,1250.384277,1300.199951,1359.400024,1297.199951,1355.199951,58846000
2020/4/1,1217.68689,1266.199951,1320.599976,1252,1286,55771500
2020/4/2,1209.223999,1257.400024,1281,1254,1266,50396500
2020/4/3,1191.529053,1239,1274.400024,1232.599976,1250,40147000
2020/4/6,1265.578979,1316,1326.800049,1234.400024,1246,52831500
2020/4/7,1272.887695,1323.599976,1347.400024,1288.800049,1332.199951,47160500
2020/4/8,1298.853271,1350.599976,1354.199951,1310.599976,1328.199951,42991000
2020/4/9,1284.812622,1336,1345.800049,1321.800049,1343.800049,28752000
2020/4/10,1276.157471,1327,1338.199951,1310.199951,1316,29598000
2020/4/13,1255.000366,1305,1327.199951,1303.199951,1312,20673000
